Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet,Fixed WiMax Internet
3.0,4.0,2 529 m²,,4.0,07 September 2020,108159949,,8800000.0,"38 Brommersvlei Road, Constantia, Cape Town",House,1.0,1.0,,6.0,,,,,,,,
2.0,2.0,,100 m²,2.0,02 July 2020,108824076,,3999950.0,"De Waterkant, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
1.0,2.0,,86 m²,,18 August 2020,108999523,,1699000.0,"6 Mckinley Grange, Claremont, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.0,2.0,,106 m²,,14 July 2020,108869946,,2995000.0,"3 St George's Mall, Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.5,2.0,,102 m²,1.0,03 September 2020,109062571,,5590000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,3.0,535 m²,,2.0,07 September 2020,109074210,,1849000.0,"Pinati, Cape Town",House,1.0,,,,,,,,,,,
1.0,2.0,,79 m²,1.0,03 September 2020,109063849,,2999999.0,"Woodstock, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
3.0,8.0,,,,21 September 2020,109141965,,2200000.0,"Grassy Park, Cape Town",House,,,,,,,,,,,,
,1.0,,53 m²,,08 September 2020,109088245,,1599000.0,"69 Main Road, Claremont, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
3.0,5.0,369 m²,,1.0,13 August 2020,108985026,,8500000.0,"13 Roos Road, Green Point, Cape Town",House,1.0,1.0,,1.0,,,,,,,,
3.0,3.0,814.4 m²,366 m²,2.0,21 September 2020,109142696,,13595000.0,"Constantia, Cape Town",House,1.0,,,,,,,,,,,
2.0,3.0,223 m²,,1.0,10 September 2020,109099247,1.0,2350000.0,"Diep River, Cape Town",House,1.0,,,3.0,,,,,,,,
2.0,2.0,,73 m²,,03 August 2020,108941003,,2999000.0,"1 Hans Stijdom Avenue, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,1.0,1.0,,,,,,
2.0,3.0,,138 m²,,01 September 2020,109052060,1.0,9995000.0,"Sea Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
2.0,4.0,285 m²,120 m²,1.0,04 July 2020,108832481,,2495000.0,"18 Milner, Observatory, Cape Town",House,,,1.0,,,,1.0,,,,,
3.5,3.0,230 m²,260 m²,2.0,28 August 2020,109043433,1.0,5995000.0,"Tokai, Cape Town",House,1.0,,,,,,,,,,,
6.0,5.0,1 486 m²,433 m²,2.0,03 September 2020,109063379,1.0,92500000.0,"Bantry Bay, Cape Town",House,1.0,1.0,,4.0,,,1.0,,,,,
,,2 500 m²,,,01 April 2020,108610726,,9500000.0,"Brommersvlei Road Upper Constantia, Constantia, Cape Town",House,,,,,,,,,,,,
2.0,2.0,,85 m²,,28 August 2020,109043080,1.0,4295000.0,"Green Point, Cape Town",Apartment / Flat,1.0,1.0,,2.0,,,,,,,,
1.0,,,27 m²,,31 July 2020,108935697,,995000.0,"50 Rouwkoop, Rondebosch, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
2.0,4.0,446 m²,,,09 September 2020,109093557,,2500000.0,"Muizenberg, Cape Town",House,1.0,,,2.0,,,,,,,,
3.0,4.0,479 m²,,,06 September 2020,109071091,,3250000.0,"10 Compass Close, Marina Da Gama, Cape Town",House,1.0,1.0,,,,,,,,,,
3.0,4.0,339 m²,,,18 September 2020,109136559,,7250000.0,"Constantia, Cape Town",House,1.0,,,2.0,,,,,,,,
5.0,5.0,229 m²,208 m²,,09 August 2020,108967182,,2995000.0,"14 St Michaels Road, Observatory, Cape Town",House,1.0,,,,,,,,,,,
2.0,4.0,833 m²,,,12 August 2020,108978548,1.0,3250000.0,"32 Avonduur Road, Pinelands, Cape Town",House,1.0,,6.0,,,,,,,,,
1.0,2.0,,74 m²,1.0,29 July 2020,108924566,1.0,2850000.0,"12 Sophia, Oranjezicht, Cape Town",Apartment / Flat,1.0,,,,,,,,,,,
3.0,3.0,595 m²,,1.0,26 August 2020,109035305,,2995000.0,"Syringa Crescent 1, Thornton, Cape Town",House,1.0,,,1.0,,,,1.0,,,,
4.0,3.0,600 m²,,2.0,07 August 2020,108961750,,,"6 Josephine Road, Claremont Upper, Cape Town",House,,1.0,,,,,,,,,,
2.0,3.0,,126 m²,1.0,18 September 2020,109137152,1.0,2300000.0,"Wynberg Upper, Cape Town",Townhouse,1.0,,,2.0,,,,1.0,,,,
2.0,3.0,312 m²,,2.0,17 July 2020,108884768,,8500000.0,"23 Devonport Road, Tamboerskloof, Cape Town",House,,1.0,,,,,1.0,,,,,
1.0,0.5,,17 m²,,10 September 2020,109100705,,895000.0,"G2 Heylon Court 367 Main Road Sea Point, Sea Point, Cape Town",Apartment / Flat,,,,,,,,1.0,,,,
1.0,1.0,,24 m²,,17 August 2020,108993709,,420000.0,"Maitland, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
1.0,4.0,128 m²,,,06 August 2020,108957651,,,"33 Goldsmith Road, Woodstock, Cape Town",House,,,,,,,,,,,,
3.0,3.0,,166 m²,,04 September 2020,109068998,,2750000.0,"Observatory, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,,
2.0,3.0,,267 m²,1.0,13 September 2020,109111046,1.0,1400000.0,"Kensington, Cape Town",House,,1.0,,3.0,,,,,,,,
2.0,2.0,,120 m²,,03 September 2020,109063386,,4895000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
2.0,3.0,117 m²,,,07 September 2020,109073592,,1890000.0,"Observatory, Cape Town",House,,,,,,,,,,,,
1.0,2.0,61 m²,61 m²,,02 September 2020,108347922,,2650000.0,"Kenilworth Upper, Cape Town",Apartment / Flat,,,,2.0,1.0,,,1.0,,,,
4.0,4.0,,202 m²,,27 August 2020,109038812,,14750000.0,"Sea Point, Cape Town",Apartment / Flat,,1.0,,3.0,1.0,,,,,,,
3.0,4.0,844 m²,250 m²,2.0,28 August 2020,109041711,,4200000.0,"Bergvliet, Cape Town",House,,,,,,,,,,,,
1.5,2.0,,88 m²,1.0,27 July 2020,108918778,,2900000.0,"315 Main Road, Sea Point, Cape Town",Apartment / Flat,1.0,,,,1.0,,,,,,,
2.0,2.0,86 m²,86 m²,,09 September 2020,109097810,,3700000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
3.5,5.0,496 m²,,4.0,12 September 2020,109110682,,1790000.0,"Belgravia, Cape Town",House,,,,4.0,,,1.0,,,,,
3.0,3.0,122 m²,122 m²,1.0,25 July 2020,108912767,1.0,8950000.0,"199 Beach Rd, Three Anchor Bay, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
1.0,1.0,,63 m²,,08 September 2020,109088656,,2250000.0,"Green Point, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
1.0,2.0,,66 m²,,28 August 2020,107489295,1.0,2100000.0,"Claremont Upper, Cape Town",Apartment / Flat,1.0,,,,,,,,,,,
1.0,0.5,,44 m²,,28 August 2020,109040110,,2195000.0,"Green Point, Cape Town",Apartment / Flat,,1.0,,,,1.0,,,,,,
3.0,2.0,,150 m²,2.0,02 September 2020,108430677,,3750000.0,"Gardens, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,1.0,,51 m²,1.0,01 August 2020,108938242,1.0,1595000.0,"21 Main Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,70 m²,1.0,07 July 2020,108840426,,1495000.0,"12 Myrtle Road, Rondebosch, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,77 m²,,28 August 2020,109042864,,2795000.0,"Oranjezicht, Cape Town",Apartment / Flat,,1.0,,2.0,1.0,,,,,,,
2.0,2.0,,77 m²,,28 July 2020,108923065,,3495000.0,"20 Riebeek Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,,
2.0,2.0,146 m²,,2.0,16 September 2020,109124351,1.0,4995000.0,"Sea Point, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
3.0,5.0,654 m²,200 m²,1.0,29 August 2020,109044658,1.0,2495000.0,"Thornton, Cape Town",House,1.0,1.0,,3.0,,,,1.0,,,,
2.0,3.0,124 m²,,,06 August 2020,108957479,,2250000.0,"18 Clarence Street, Woodstock, Cape Town",House,1.0,,,,,,,1.0,,,,
2.5,2.0,140 m²,140 m²,1.0,28 August 2020,109039959,1.0,6195000.0,"Sea Point, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
2.5,2.0,,141 m²,,12 August 2020,108977417,1.0,19995000.0,"29 Victoria Road, Bantry Bay, Cape Town",Apartment / Flat,,1.0,,2.0,,,,1.0,,,,
1.0,2.0,,78 m²,1.0,28 August 2020,109041823,,1750000.0,"Rosebank, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
3.0,4.0,465 m²,,,18 August 2020,109000584,1.0,2550000.0,"14 Monton Road, Kenwyn, Cape Town",House,1.0,1.0,,3.0,,,,,,,,
2.5,3.0,500 m²,,1.0,09 September 2020,109093340,,1530000.0,"Lotus River, Cape Town",House,1.0,,,4.0,,,,,,,,
2.5,3.0,320 m²,220 m²,2.0,25 July 2020,108912403,1.0,7100000.0,"14 Oak Tree Road, Vredehoek, Cape Town, Vredehoek, Cape Town",House,1.0,1.0,,3.0,,1.0,,1.0,,,,
2.0,3.0,,,2.0,15 August 2020,108990632,,4500000.0,"9 Main Street, Newlands, Cape Town",Apartment / Flat,,1.0,,,,,,1.0,,,,
1.0,1.0,,41 m²,,17 July 2020,108882938,,1800000.0,"504 Urban Artisan 22 Salt River Road, Woodstock, Cape Town",House,,,,1.0,,,,1.0,,,,
2.0,3.0,367 m²,138 m²,,09 September 2020,109098192,1.0,3550000.0,"Rondebosch, Cape Town",House,1.0,,,2.0,,,,,,,,
1.5,3.0,,87 m²,,02 September 2020,109059396,,2100000.0,"Rondebosch, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
1.0,2.0,14 960 m²,62 m²,,27 July 2020,108917564,,1100000.0,"1 Baden Powell Drive, Costa Da Gama, Cape Town",Apartment / Flat,,,,1.0,1.0,,,1.0,,,,
1.0,1.0,51 m²,51 m²,,31 August 2020,109046534,,1400000.0,"Claremont Upper, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,,1 590 m²,45 m²,,30 August 2020,109045651,,800000.0,"Plumstead, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
6.5,7.0,690 m²,429 m²,2.0,27 August 2020,107381438,1.0,11500000.0,"Camps Bay, Cape Town",House,1.0,1.0,,,,1.0,1.0,,,,,
2.0,2.0,,101 m²,1.0,05 August 2020,108952799,,2395000.0,"31 Brickfield Road, Woodstock, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.5,5.0,1 309 m²,,2.0,14 September 2020,109115889,,6749000.0,"Claremont Upper, Cape Town",House,,,,,,,1.0,,,,,
3.0,3.0,170 m²,150 m²,1.0,10 September 2020,109099230,1.0,4500000.0,"Bo Kaap, Cape Town",House,1.0,,,,,,,,,,,
1.0,1.0,,50 m²,1.0,30 July 2020,108930736,,1350000.0,"34 St Georges Mall, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,1.0,,46 m²,,20 September 2020,109140107,1.0,1790000.0,"Vredehoek, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,4.0,898 m²,,,04 June 2020,108709017,,4250000.0,"Pinelands, Cape Town",House,1.0,1.0,,2.0,,,,,,,,
5.5,6.0,395 m²,292 m²,2.0,29 August 2020,109045232,,9950000.0,"Sea Point, Cape Town",House,1.0,,,2.0,1.0,,,,,,,
2.0,2.0,,127 m²,2.0,02 September 2020,109057847,,5950000.0,"Green Point, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
2.5,3.0,,,3.0,07 September 2020,109073573,,12500000.0,"17 Monterey Avenue, Bishopscourt, Cape Town",House,1.0,1.0,,,,,,,,,,
3.5,5.0,4 035 m²,,3.0,14 August 2020,108990111,,24950000.0,"29 Upper Sidmouth Avenue, Bishopscourt, Cape Town",House,1.0,1.0,,4.0,,,,,,,,
2.0,3.0,1 011 m²,,2.0,13 August 2020,107301787,,5795000.0,"20 Mountain View Crescent, Tokai, Cape Town",House,,,,1.0,,,,,,,,
3.5,4.0,,703 m²,1.0,06 August 2020,108957494,1.0,4950000.0,"10 Goldbourne Road, Kenilworth, Cape Town",House,,1.0,,3.0,,,1.0,,,,,
2.5,2.0,,132 m²,,05 September 2020,109070403,1.0,7950000.0,"De Waterkant, Cape Town",Apartment / Flat,,1.0,,3.0,,,,,,,,
1.0,1.0,,56 m²,,09 July 2020,108852751,,2500000.0,"233 High Level Road, Sea Point, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
2.0,3.0,287 m²,,1.0,05 September 2020,109069790,,2195000.0,"Kirstenhof, Cape Town",House,1.0,1.0,,3.0,,,,,,,,
3.5,4.0,781 m²,328 m²,2.0,23 July 2020,108907431,1.0,6700000.0,"11 Bishopscourt Road, Claremont Upper, Cape Town",House,1.0,1.0,,2.0,,,,,,,,
3.0,5.0,428 m²,162 m²,2.0,06 July 2020,108835881,,2995000.0,"14 Campbell Street, Observatory, Cape Town",House,,,,2.0,,,,,,,,
4.0,4.0,140 m²,140 m²,,13 May 2020,108660573,,3800000.0,"Schotschekloof, Bo Kaap, Cape Town",House,1.0,,,,,,,1.0,,,,
2.0,3.0,366 m²,143 m²,,27 July 2020,108918594,,3295000.0,"8 Clifton Road, Claremont, Cape Town",House,1.0,1.0,,1.0,,,,,,,,
1.0,2.0,,132 m²,1.0,17 September 2020,109132167,,2900000.0,"Salt River, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.5,2.0,,166 m²,,28 August 2020,109040985,,8700000.0,"Sea Point, Cape Town",Apartment / Flat,,1.0,,2.0,1.0,,,,,,,
1.0,1.5,,73 m²,,30 August 2020,109046259,,2395000.0,"Three Anchor Bay, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,3.0,396 m²,146 m²,1.0,28 August 2020,109043493,1.0,2695000.0,"Maitland, Cape Town",House,1.0,1.0,,2.0,,,1.0,1.0,,,,
1.0,1.0,115 m²,115 m²,1.0,10 September 2020,108947210,1.0,5550000.0,"Bantry Bay, Cape Town",Apartment / Flat,,,,1.0,,,,,,,1.0,
2.0,2.0,1 038 m²,90 m²,,29 July 2020,108926486,,3095000.0,"34 Prestwich, De Waterkant, Cape Town",Apartment / Flat,,,,2.0,1.0,,,,,,,
2.0,3.0,200 m²,60 m²,1.0,02 September 2020,109056671,,1200000.0,"Muizenberg, Cape Town",House,,,,,,,,,,,,
1.0,1.0,,67 m²,1.0,28 August 2020,109042997,,3250000.0,"Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,1.0,,41 m²,,03 September 2020,109063061,,1150000.0,"Rondebosch, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
1.0,1.0,38 m²,38 m²,,04 September 2020,109065235,,1367600.0,"8 Harfield Road, Claremont, Cape Town",Apartment / Flat,,,,,,,,,,,,
4.0,10.0,,,,03 April 2019,107367463,,5250000.0,"21 Ednam Road, Rondebosch, Cape Town",House,1.0,,,,,,,,,,,
1.0,2.0,,79 m²,1.0,27 August 2020,109036379,1.0,2400000.0,"Vredehoek, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.5,3.0,96 m²,87 m²,1.0,27 August 2020,109036004,1.0,2595000.0,"Kenilworth, Cape Town",House,1.0,,,2.0,,,,,,,,
1.0,2.0,,,,28 February 2020,108512890,,1899000.0,"Zonnebloem, Cape Town",Apartment / Flat,1.0,1.0,,1.0,,,,,,,,
1.0,2.0,,97 m²,1.0,03 August 2020,108944277,1.0,2140000.0,"242 Main Road, Claremont Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,0.5,,32 m²,,15 September 2020,109120057,,1499000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,1.0,1.0,,,,,,
2.0,2.0,315 m²,,,23 July 2020,108906556,,3750000.0,"53 Ritchie Street, University Estate, Cape Town",House,1.0,,,2.0,,,,,,,,
5.0,7.0,2 032 m²,600 m²,3.0,01 July 2020,108818682,,11500000.0,"32 Duckitt Avenue, Constantia, Cape Town",House,,1.0,,5.0,,,1.0,,,,,
1.0,2.0,,92 m²,2.0,22 July 2020,108902686,,3195000.0,"20 Church Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,140 m²,,27 August 2020,109038131,,4200000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,,,,1.0,1.0,,,,,,,
2.0,2.0,,115 m²,,12 August 2020,108978647,,6250000.0,"1 Kings Road, Sea Point, Cape Town",Apartment / Flat,,,,2.0,,1.0,,1.0,,,,
1.0,1.0,,74 m²,1.0,27 August 2020,109037297,,3100000.0,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,2.0,80 m²,,,17 September 2020,109131209,,3211300.0,"Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,88 m²,,24 July 2020,108910561,,2695000.0,"166817 Church Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
1.0,1.0,,62 m²,1.0,27 August 2020,109036755,,1550000.0,"Rondebosch, Cape Town",Apartment / Flat,,1.0,,,1.0,,,,,,,
1.0,1.0,,42 m²,,30 July 2020,108932388,,,"731 Wex 1 85 Albert Road, Woodstock, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
2.0,4.0,250 m²,190 m²,,19 August 2020,109007438,,4995000.0,"13 Albany Road, Sea Point, Cape Town",House,1.0,,,,,,,,,,,
3.0,5.0,871 m²,283 m²,3.0,27 August 2020,109034394,1.0,3500000.0,"3 Flamingo Crescent, Zeekoeivlei, Zeekoevlei, Cape Town",House,1.0,1.0,,2.0,,,1.0,,,,,
2.0,2.0,,130 m²,,16 July 2020,108879533,,4100000.0,"7 Herschel Close, Claremont Upper, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,,
4.5,4.0,822 m²,,2.0,07 August 2020,108964643,1.0,16995000.0,"11111 Steenberg Estate, Off Steenberg Road, Steenberg Golf Estate, Cape Town",House,1.0,1.0,,2.0,,,,,,1.0,,
1.0,,,47 m²,1.0,24 July 2020,108909382,1.0,1795000.0,"229 High Level Road, Sea Point, Cape Town",Apartment / Flat,1.0,,,,,,,1.0,,,,
1.0,3.0,567 m²,,1.0,16 September 2020,109126265,,1899000.0,"Steenberg, Cape Town",House,,,,,,,,,,,,
3.0,5.0,2 027 m²,316 m²,2.0,09 September 2020,109096772,1.0,9300000.0,"2 Constantiaberg Close, Constantia, Cape Town",House,1.0,1.0,,2.0,,,1.0,,,,,
15.0,12.0,4 254 m²,995 m²,3.0,04 September 2020,109066526,,21000000.0,"Bishopscourt Village, Cape Town",Townhouse,,,,,,,,,,,,
2.0,4.0,825 m²,,2.0,17 August 2020,108993450,,4950000.0,"11 Oak Farm Crescent, Constantia, Cape Town",House,,,,,,,,,,,,
2.0,3.0,356 m²,177 m²,,26 August 2020,109031324,,3450000.0,"Muizenberg, Cape Town",House,1.0,,,2.0,,,,,,,,
2.0,3.0,497 m²,,,04 September 2020,109066016,1.0,2750000.0,"Kenilworth, Cape Town",House,,1.0,,2.0,,,,,,,,
1.0,2.0,,90 m²,,27 August 2020,109038046,,1775000.0,"Claremont, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.5,2.0,,81 m²,,13 August 2020,108982951,,1395000.0,"Rosebank, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,,
4.0,6.0,1 569 m²,,2.0,27 July 2020,108918917,1.0,6500000.0,"1 Alexandra, Wynberg Upper, Cape Town",House,1.0,1.0,8.0,,,,,,,,,
3.0,5.0,718 m²,159 m²,,28 August 2020,109041239,,3650000.0,"Kenwyn, Cape Town",House,1.0,1.0,,6.0,,,1.0,,,,,
3.0,4.0,495 m²,136 m²,,26 August 2020,109034068,,5250000.0,"Claremont, Cape Town",House,1.0,,,2.0,,,,,,,,
1.0,1.0,,70 m²,,27 July 2020,108915930,,1499000.0,"100 Bayview Lodge, Main Road, Muizenberg, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,496 m²,186 m²,,04 September 2020,109067903,,2500000.0,"Plumstead, Cape Town",House,1.0,,,1.0,,,,,,,,
1.0,4.0,666 m²,,,14 August 2020,108989336,,6995000.0,"35 Coronation Rd, Walmer Estate, Cape Town",House,,,,,,,,,,,,
3.0,4.0,495 m²,225 m²,2.0,26 August 2020,109034224,,3495000.0,"76 Woodley Road, Plumstead, Cape Town",House,1.0,1.0,,,,,1.0,,,,,
3.0,2.0,,153 m²,,10 July 2020,108856347,,13800000.0,"Carradale, 3 Marina One Quay Street, Waterfront, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,,
1.0,3.0,70 m²,182 m²,1.0,29 July 2020,108926823,,580000.0,"49 Saint Robert Road, Retreat, Cape Town",House,,,1.0,,,,,,,,,
1.0,2.0,,65 m²,,24 July 2020,108910617,,1395000.0,"1 Drury Street, Zonnebloem, Cape Town",Apartment / Flat,1.0,1.0,,,,,,,,,,
1.0,1.0,9 000 m²,64 m²,,09 September 2020,109098301,1.0,1895000.0,"Gardens, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,,
3.5,4.0,511 m²,247 m²,1.0,24 July 2020,108911795,1.0,11500000.0,"4 Francolin Road, Camps Bay, Cape Town",House,1.0,1.0,,2.0,,,1.0,,,,,
2.0,2.0,,95 m²,,04 September 2020,109065986,,3250000.0,"Newlands, Cape Town",Apartment / Flat,1.0,1.0,,2.0,,,,,,,,
2.0,2.0,,91 m²,,09 September 2020,109098145,1.0,3800000.0,"Rondebosch, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,,
4.0,3.0,,232 m²,2.0,22 July 2020,108900900,1.0,11995000.0,"311 Ocean View Drive, Fresnaye, Cape Town",Apartment / Flat,,,,,,,,,,,,
4.0,4.0,471 m²,232 m²,,21 August 2020,109015504,,15000000.0,"Oranjezicht, Cape Town",House,,,,,,,,,,,,
1.0,2.0,124 m²,,,19 September 2020,109139222,1.0,1750000.0,"Salt River, Cape Town",House,,,,1.0,,,,,,,,
,,,,,23 September 2020,109152256,,1850000.0,"Pinelands, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,3.0,,97 m²,,25 August 2020,109029037,,1495000.0,"Rosebank, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,1.0,,60 m²,,22 July 2020,108900312,,1295000.0,"267 Victoria Rd, Woodstock, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
1.0,2.0,,73 m²,1.0,25 August 2020,109029251,,1350000.0,"Kenilworth, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
2.0,2.0,,124 m²,,26 August 2020,109032798,,5895000.0,"23 Crystal Waters 7-11 Dover Road Sea Point Upper, Sea Point, Cape Town",Apartment / Flat,,1.0,,3.0,,,,1.0,,,,
1.0,0.5,,25 m²,,14 September 2020,109112005,1.0,1595000.0,"Sea Point, Cape Town",Apartment / Flat,1.0,,,,,,,,,,,
2.0,2.0,,123 m²,,30 July 2020,108929710,,5250000.0,"Beach Court 233 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
3.0,4.0,445 m²,,2.0,07 September 2020,109076393,1.0,13700000.0,"Fresnaye, Cape Town",House,,1.0,,,,,,,,,,
2.0,3.0,,199 m²,2.0,05 August 2020,108952056,,7250000.0,"Sea Point, Cape Town",Townhouse,,,,,,,,,,,,
2.0,2.0,2 592 m²,56 m²,1.0,31 July 2020,108937350,,1850000.0,"37 Roeland Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
,,95 m²,,,11 September 2020,109108865,,3250000.0,"Newlands, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,3.0,,107 m²,1.0,03 September 2020,109063134,,1750000.0,"Woodstock, Cape Town",House,,,,,1.0,,,,,,,
4.0,4.0,,,2.0,15 July 2020,108871840,,13995000.0,"Camps Bay, Cape Town",House,1.0,1.0,,,,,,,,,,
4.5,4.0,2 212 m²,502 m²,3.0,28 August 2020,109042100,1.0,14500000.0,"Bishopscourt, Cape Town",House,,1.0,,6.0,,,1.0,,,,,
3.0,4.0,,,2.0,11 September 2020,109107640,,28000000.0,"Camps Bay, Cape Town",Apartment / Flat,,1.0,,,,,1.0,,,,,
2.0,2.0,,146 m²,1.0,03 September 2020,109060914,,3850000.0,"Cape Town City Centre, Cape Town",Apartment / Flat,1.0,1.0,,,,,,,,,,
4.0,4.0,,426 m²,,03 August 2020,108940694,,27000000.0,"Fresnaye, Cape Town",Apartment / Flat,,1.0,,4.0,,,,,,,,
2.0,2.0,,104 m²,,13 August 2020,108984368,,3995000.0,"Sea Point, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,
2.0,3.0,136 m²,136 m²,2.0,03 September 2020,109064078,,3250000.0,"Observatory, Cape Town",House,,,,,1.0,,,,,,,
3.0,3.0,,,,19 August 2020,109005793,,3495000.0,"5 Escombe Road, Vredehoek, Cape Town",Apartment / Flat,1.0,1.0,,,,,,,,,,
1.0,3.0,803 m²,125 m²,1.0,14 September 2020,109107408,,3200000.0,"Pinelands, Cape Town",House,,,,3.0,1.0,,,,,,,
2.0,2.0,,132 m²,,14 August 2020,108987905,,15995000.0,"Waterfront, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,,
1.0,1.0,,50 m²,,08 September 2020,109088225,1.0,1045000.0,"Wynberg Upper, Cape Town",Apartment / Flat,1.0,,,1.0,,,,,,,,
2.0,2.0,316 m²,,1.0,17 August 2020,108994670,,2495000.0,"7c Parry Road, Claremont, Cape Town",House,1.0,,3.0,,,,,,,,,
2.0,4.0,901 m²,171 m²,1.0,04 September 2020,109065304,1.0,3250000.0,"Tokai, Cape Town",House,1.0,1.0,,6.0,,,,,,,,
2.0,2.0,200 m²,200 m²,,02 September 2020,109059042,,2100000.0,"Wynberg, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.0,3.0,240 m²,,,11 September 2020,109107930,,699999.0,"8 St Richard Road, Seawinds, Cape Town",House,1.0,,,1.0,,,,,,,,
5.5,5.0,638 m²,,3.0,03 September 2020,109061043,,42000000.0,"Bakoven, Cape Town",House,1.0,1.0,,,,,,,,,,
1.0,2.0,,55 m²,,22 July 2020,108898886,,1695000.0,"19 Grove Avenue, Claremont, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.0,3.0,154 m²,154 m²,,16 August 2019,107837619,,24725000.0,"Waterclub, 1943 Beach Road, Mouille Point, Cape Town",Apartment / Flat,1.0,,,2.0,,,,,,,,
2.0,5.0,595 m²,,1.0,03 September 2020,109063402,1.0,2995000.0,"Ottery, Cape Town",House,1.0,1.0,,3.0,,,,,,,,
2.0,4.0,396 m²,,3.0,03 September 2020,109063517,1.0,8200000.0,"Fresnaye, Cape Town",House,,1.0,,,,,,,,,,
1.0,0.5,40 m²,40 m²,,17 September 2020,109130184,,1250000.0,"Gardens, Cape Town",Apartment / Flat,,,,,1.0,,,1.0,,,,
1.0,2.0,763 m²,71 m²,1.0,04 August 2020,108949881,1.0,2500000.0,"164 Upper Buitenkant Street, Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,,,,,
