Bathrooms,Bedrooms,Erf Size,Floor Size,Garages,Listing Date,Listing Number,Pet Friendly,Price,Town,Type of Property,Garden,Pool,Secure Parking,Parking,No Pets Allowed,Furnished,Flatlet,Fibre Internet,Furnished (Optional),ADSL Internet,Satellite Internet,Fixed WiMax Internet
2.0,2.0,133 m²,93 m²,1.0,23 September 2020,109153009,1.0,4950000.0,"5 Brownlow Rd, Tamboerskloof, Cape Town",Apartment / Flat,1.0,,,,,,,1.0,,,,
1.0,2.0,,91 m²,1.0,23 September 2020,109151558,1.0,3150000.0,"Oranjezicht, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.0,2.0,,143 m²,,23 September 2020,109152082,,12995000.0,"Waterfront, Cape Town",Apartment / Flat,,,,2.0,,,,1.0,,,,
2.0,2.0,,84 m²,,22 September 2020,109150743,1.0,4750000.0,"7 On T Thornhill Road, Green Point, Cape Town",Apartment / Flat,,,,1.0,,,,1.0,,,,
1.0,3.0,263 m²,105 m²,1.0,23 September 2020,109151857,,2495000.0,"Kenilworth, Cape Town",House,1.0,,,,,,,,,,,
1.0,1.0,,61 m²,,23 July 2020,108907279,,1265000.0,"Muizenberg, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
3.0,3.0,144 m²,144 m²,,22 September 2020,109148820,,7950000.0,"21 Fir Avenue, Bantry Bay, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,
3.0,3.0,421 m²,,2.0,22 September 2020,109150356,,2400000.0,"18 Cox Crescent, Mountview, Cape Town",House,,1.0,,2.0,,,,,,,,
3.5,3.0,,301 m²,,17 April 2018,106249560,,9950000.0,"1 Victoria Road, Camps Bay, Cape Town",Apartment / Flat,,,2.0,,,,,,,,,
2.0,3.0,434 m²,127 m²,1.0,22 September 2020,109149905,1.0,1295000.0,"Charlesville, Cape Town",House,1.0,,,3.0,,,,,,,,
2.0,2.0,,73 m²,,23 September 2020,105778949,,2795000.0,"Rondebosch, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
3.5,3.0,,261 m²,1.0,23 September 2020,109151866,,15950000.0,"Bantry Bay, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
1.0,2.0,,85 m²,,22 September 2020,109150758,,1600000.0,"28 Mile End Road, Diep River, Cape Town",Apartment / Flat,1.0,,,1.0,1.0,,,,,,,
3.5,3.0,898 m²,,1.0,23 September 2020,109151344,,6950000.0,"13 Avenue Thibault, Newlands, Cape Town",House,1.0,1.0,,3.0,1.0,,,,,,,
1.0,2.0,,,,23 September 2020,109151364,,795000.0,"Thornton, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
1.0,2.0,,78 m²,,23 September 2020,109151568,,2350000.0,"Eilat, 10 Hall Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.5,3.0,231 m²,170 m²,2.0,23 September 2020,109151766,1.0,5950000.0,"Newlands, Cape Town",Townhouse,,,,2.0,,,,,,,,
3.0,5.0,936 m²,150 m²,2.0,23 September 2020,109151546,,8700000.0,"5 Springfield Close, Rondebosch, Cape Town",House,,1.0,,,,,,,,,,
2.5,3.0,1 001 m²,303 m²,2.0,21 September 2020,109144854,,7695000.0,"6 Weaverbird Close, Tokai, Cape Town",House,,,,4.0,,,,,,,,
2.0,3.0,79 m²,79 m²,1.0,23 September 2020,109151160,1.0,1250000.0,"6 St Georges Street, Muizenberg, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,
2.0,2.0,,159 m²,,22 September 2020,109147053,,18995000.0,"42 Victoria Road, Bantry Bay, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
2.0,4.0,622 m²,148 m²,1.0,23 September 2020,109151909,,2850000.0,"8 Denton Street, Kenwyn, Cape Town",House,,,,3.0,,,,,,,,
1.0,1.0,,58 m²,1.0,23 September 2020,109152325,,1350000.0,"226 Victoria Road, Woodstock, Cape Town",Apartment / Flat,,,,,,,,1.0,,,,
1.0,1.0,41 m²,41 m²,,14 September 2020,109113863,,2495000.0,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
1.0,2.0,,75 m²,,13 September 2020,109110971,,2250000.0,"704 The Iron Works, 242 Sir Lowry Road, Woodstock, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.0,2.0,88 m²,88 m²,,22 September 2020,109146266,,5400000.0,"2 Dockrail Road, Foreshore, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
2.0,3.0,367 m²,160 m²,1.0,15 September 2020,109119922,,3850000.0,"78 Roodebloem Road, Woodstock, Cape Town",House,,,,1.0,,,,,,,,
11.0,11.0,938 m²,722 m²,3.0,14 September 2020,109112995,1.0,18500000.0,"3 Capri Road Sonnekus Guest House, St James, Cape Town",House,,,,,,1.0,,,,,,
2.0,3.0,,102 m²,1.0,16 September 2020,109123904,,4795000.0,"4 Clyde Road, Green Point, Cape Town",Townhouse,,,,,,,,,,,,
1.0,1.0,,67 m²,,15 September 2020,109121649,,2425000.0,"27 Breda Street, Oranjezicht, Cape Town",Apartment / Flat,,1.0,1.0,,,,,,,,,
1.0,1.0,,61 m²,,17 September 2020,109131219,,2850000.0,"57 Prestwich Street, De Waterkant, Cape Town",Apartment / Flat,,1.0,2.0,,,,,,,,,
2.0,2.0,,128 m²,,14 September 2020,109114362,,4295000.0,"2a Avenue Francaise Street, Fresnaye, Cape Town",Apartment / Flat,,,1.0,,,,,,,,,
4.0,4.0,747 m²,275 m²,2.0,11 September 2020,109107673,,14995000.0,"48 Spurwing, Steenberg Golf Estate, Cape Town",House,,1.0,,4.0,,,,,,,,
3.0,3.0,171 m²,171 m²,,15 September 2020,109118778,,18800000.0,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,,
1.5,2.0,,104 m²,1.0,18 September 2020,109136644,,4550000.0,"305 Beach Road, Sea Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
3.0,3.0,211 m²,215 m²,,22 September 2020,109148366,1.0,3950000.0,"76 Upper Melbourne Street, Walmer Estate, Cape Town",House,,,,1.0,,,,,,,,
6.0,5.0,571 m²,,2.0,23 September 2020,109153521,1.0,11900000.0,"85 Joubert Road, Green Point, Cape Town",House,1.0,1.0,2.0,,,,,,,,,
1.0,1.0,71 m²,71 m²,,17 September 2020,109130156,,4600000.0,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
3.0,5.0,2 000 m²,451 m²,2.0,14 September 2020,109112511,,13250000.0,"3 Firgrove Estate, 24 Ridgedale Crescent, Constantia, Cape Town",House,,,,2.0,,,,,,,,
2.0,2.0,191 m²,191 m²,,15 September 2020,109118726,,32000000.0,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,2.0,,,,,,,,
1.0,0.5,43 m²,43 m²,,15 September 2020,109118910,,2590000.0,"16 Bree Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,1.0,,,,,,,,
10.0,10.0,803 m²,500 m²,3.0,11 September 2020,109107758,1.0,5800000.0,"18 Noble Circle, Ottery, Cape Town",House,,1.0,5.0,,,,,,,,,
2.0,2.0,,114 m²,1.0,22 September 2020,109148312,,2495000.0,"16811 Loop Street, Cape Town City Centre, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
1.5,2.0,,101 m²,,21 September 2020,109145001,,3300000.0,"219 Norfolk, Sea Point, Cape Town",Apartment / Flat,,,,,1.0,,,,,,,
4.0,5.0,314 m²,471 m²,2.0,21 September 2018,106776554,1.0,14995000.0,"Green Point, Cape Town",House,,1.0,,,,,,,,,,
2.0,2.0,81 m²,81 m²,2.0,21 September 2020,109144422,,2750000.0,"11 High Cape Avenue, Vredehoek, Cape Town",Apartment / Flat,,1.0,,,,,,1.0,,,,
1.0,2.0,,88 m²,,21 June 2020,108783005,1.0,1350000.0,"5 East-lee 14 Brent Road, Plumstead, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.0,3.0,2 670 m²,315 m²,2.0,21 September 2020,109141336,,8900000.0,"3 Touraine Close, Constantia, Cape Town",House,,,,5.0,,,,,,,,
2.0,3.0,572 m²,108 m²,1.0,23 September 2020,109152211,,2195000.0,"4 Auriga Road, Retreat, Cape Town",House,1.0,,,1.0,,,,,,,,
2.0,2.0,,86 m²,2.0,22 September 2020,109148517,,2800000.0,"25 Wilderness Road, Claremont Upper, Cape Town",Apartment / Flat,,,,,,,,,,,,
2.5,2.0,,229 m²,2.0,23 September 2020,109153453,1.0,9500000.0,"252 Roggebaai Square, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
4.0,4.0,991 m²,375 m²,,10 September 2020,109100167,,19800000.0,"22 Fisherman's Bend, Llandudno, Cape Town",House,,1.0,,4.0,,,,,,,,
1.0,1.0,,72 m²,,21 September 2020,109144901,,1995000.0,"Dunhof, 12 Hall Road, Sea Point, Cape Town",Apartment / Flat,,,,1.0,,,,,,,,
2.0,2.0,,90 m²,2.0,21 September 2020,109142015,1.0,2995000.0,"54 Roeland Street, Cape Town City Centre, Cape Town",Apartment / Flat,,1.0,,,,,,,,,,
2.0,3.0,,107 m²,1.0,10 September 2020,109102413,,3250000.0,"39 High Level Road, Green Point, Cape Town",Apartment / Flat,,,,,,,,,,,,
1.0,3.0,491 m²,199 m²,1.0,10 September 2020,109101574,1.0,2200000.0,"112 Rotherfield Road, Plumstead, Cape Town",House,1.0,,,1.0,,,,,,,,
2.5,2.0,,111 m²,,10 September 2020,109101732,1.0,7950000.0,"10 Quendon Road, Sea Point, Cape Town",Apartment / Flat,,1.0,2.0,,,,,,,,,
